name_ru;name_kk;external_id
Семей Г.А.;Семей Қ.Ә.;101000000
Курчатов Г.А.;Курчатов Қ.Ә.;101800000
Абайский район;Абай ауданы;103200000
район Ақсуат;Ақсуат ауданы;103400000
Аягозский район;Аягөз ауданы;103600000
Бескарагайский район;Бесқарағай ауданы;103800000
Бородулихинский район;Бородулиха ауданы;104000000
район Жаңасемей;Жаңасемей ауданы;104100000
Жарминский район;Жарма ауданы;104200000
Кокпектинский район;Көкпекті ауданы;104400000
район Мақаншы;Мақаншы ауданы;104500000
Урджарский район;Үржар ауданы;104600000
Кокшетау Г.А.;Көкшетау Қ.Ә.;111000000
Косшы г.а.;Қосшы қ.ә.;111600000
Степногорск Г.А.;Степногор Қ.Ә.;111800000
Аккольский район;Ақкөл ауданы;113200000
Aршалынский район;Аршалы ауданы;113400000
Астраханский район;Астрахан ауданы;113600000
Атбасарский район;Атбасар ауданы;113800000
Буландынский район;Бұланды ауданы;114000000
Егиндыкольский район;Егіндікөл ауданы;114400000
район Биржан сал;Біржан сал ауданы;114500000
Ерейментауский район;Ерейментау ауданы;114600000
Есильский район;Есіл ауданы;114800000
Жаксынский район;Жақсы ауданы;115200000
Жаркаинский район;Жарқайың ауданы;115400000
Зерендинский район;Зеренді ауданы;115600000
Коргалжынский район;Қорғалжын ауданы;116000000
Сандыктауский район;Сандықтау ауданы;116400000
Целиноградский район;Целиноград ауданы;116600000
Шортандинский район;Шортанды ауданы;116800000
Бурабайский район;Бурабай ауданы;117000000
Актобе Г.А.;Ақтөбе Қ.Ә.;151000000
Алгинский район;Алға ауданы;153200000
Айтекебийский район;Әйтеке би ауданы;153400000
Байганинский район;Байғанин ауданы;153600000
Каргалинский район;Қарғалы ауданы;154000000
Хобдинский район;Қобда ауданы;154200000
Мартукский район;Мәртөк ауданы;154600000
Мугалжарский район;Мұғалжар ауданы;154800000
Уилский район;Ойыл ауданы;155200000
Темирский район;Темір ауданы;155600000
Хромтауский район;Хромтау ауданы;156000000
Шалкарский район;Шалқар ауданы;156400000
Иргизский район;Ырғыз ауданы;156800000
Қонаев Г.А.;Қонаев Қ.Ә.;191000000
Капчагай Г.А.;Қапшағай Қ.Ә.;191600000
Алатау Г.А.;Алатау Қ.Ә.;191800000
КАЗЫБЕК БИ РАЙОН;ҚАЗЫБЕК БИ АУДАНЫ;1930375
Балхашский район;Балқаш ауданы;193600000
Енбекшиказахский район;Еңбекшіқазақ ауданы;194000000
Жамбылский район;Жамбыл ауданы;194200000
Кегенский район;Кеген ауданы;194400000
Карасайский район;Қарасай ауданы;195200000
Райымбекский район;Райымбек ауданы;195800000
Талгарский район;Талғар ауданы;196200000
Уйгурский район;Ұйғыр ауданы;196600000
Илийский район;Іле ауданы;196800000
Атырау Г.А.;Атырау Қ.Ә.;231000000
Жылыойский район;Жылыой ауданы;233600000
Индерский район;Индер ауданы;234000000
Исатайский район;Исатай ауданы;234200000
Курмангазинский район;Құрманғазы ауданы;234600000
Кзылкогинский район;Қызылқоға ауданы;234800000
Макатский район;Мақат ауданы;235200000
Махамбетский район;Махамбет ауданы;235600000
Уральск Г.А.;Орал Қ.Ә.;271000000
Акжаикский район;Ақжайық ауданы;273200000
Бурлинский район;Бөрлі ауданы;273600000
Жангалинский район;Жаңақала ауданы;274000000
Жанибекский район;Жәнібек ауданы;274200000
район Бәйтерек;Бәйтерек ауданы;274400000
Казталовский район;Казталовка ауданы;274800000
Каратобинский район;Қаратөбе ауданы;275000000
Бокейординский район;Бөкейордасы ауданы;275400000
Сырымский район;Сырым ауданы;275800000
Таскалинский район;Тасқала ауданы;276000000
Теректинский район;Теректі ауданы;276200000
Чингирлауский район;Шыңғырлау ауданы;276600000
Тараз Г.А.;Тараз Қ.Ә.;311000000
Байзакский район;Байзақ ауданы;313600000
Жамбылский район;Жамбыл ауданы;314000000
Жуалынский район;Жуалы ауданы;314200000
Кордайский район;Қордай ауданы;314800000
район Турара Рыскулова;Тұрар Рысқұлов ауданы;315000000
Меркенский район;Мерке ауданы;315400000
Мойынкумский район;Мойынқұм ауданы;315600000
Сарысуский район;Сарысу ауданы;316000000
Таласский район;Талас ауданы;316200000
Шуский район;Шу ауданы;316600000
Талдыкорган Г.А.;Талдықорған Қ.Ә.;331000000
Текели Г.А.;Текелі Қ.Ә.;331800000
Аксуский район;Ақсу ауданы;333200000
Алакольский район;Алакөл ауданы;333400000
Ескельдинский район;Ескелді ауданы;333600000
Кербулакский район;Кербұлақ ауданы;334000000
Коксуский район;Көксу ауданы;334200000
Каратальский район;Қаратал ауданы;334400000
Панфиловский район;Панфилов ауданы;334600000
Саркандский район;Сарқант ауданы;334800000
Караганда Г.А.;Қарағанды Қ.Ә.;351000000
