name_ru;name_kk;external_id
Руководитель (начальник, директор, заведующий);Басшы (басшы, директор, меңгеруші);1
Преподаватель-организатор начальной военной и технологической подготовки (военный руководитель в учебном заведении), начальной военной подготовки (для организаций технического и профессионального, послесреднего образования);Алғашқы әскери және технолгиялық дайындық оқытушы-ұйымдастырушысы (білім беру мекемесінде әскери жетекші, техникалық және кәсіптік, мектептен кейінгі білім беру ұйымының алғашқы әскери оқытушы-ұйымдастырушысы);2
Руководитель (заведующий, начальник) структурного подразделения (отдела, отделения);Құрылымдық бөлімшенің (бөлімнің, бөлімшенің) жетекшісі (меңгеруші, басшы);3
Заместитель руководителя организации образования;Білім беру ұйымы басшысының орынбасары;4
Заведующий интернатом, лабораторией, кабинетом организации образования;Интернат, зертхана, білім беру ұйымы кабинетінің меңгерушісі;5
Заведующий отделением в организациях образования, непосредственно занимающийся учебно-производственной, учебно-методической, учебно-воспитательной деятельностью, организационно-массовой работе, научно-исследовательской работе;Білім беру ұйымдарындағы бөлімше, оқу-өндірістік, оқу әдістемелік, оқу-тәрбиелік қызметпен айналысатын, жаппай ұйымдастыру жұмысының, ғылыми-зерттеу жұмысының меңгерушісі;6
Заведующий учебной частью, сектором, учебно-производственной (учебной) мастерской;оқу бөлімінің, секторының, білім беру ұйымының оқу өндірістік (оқу) шеберханасының меңгерушісі;7
Заведующий кафедрой института повышения квалификации (филиала);Біліктілікті арттыру институтының (филиалының) кафедра меңгерушісі;8
Старший преподаватель института повышения квалификации (филиала);Біліктілікті арттыру институтының (филиалының) аға оқытушысы;9
Социальный педагог;Әлеуметтік педагог;10
Педагог-ассистент;Педагог-ассистент;11
Педагог дополнительного образования;Қосымша білім беру педагогы;12
Педагог-психолог, психолог;Педагог-психолог, психолог;13
Специальный педагог (учитель-дефектолог, дефектолог, учитель-логопед, логопед, олигофренопедагог, сурдопедагог, тифлопедагог);Арнайы білім беру педагогі (дефектолог-мұғалімі, дефектолог, логопед-мұғалімі, логопед, олигофренопедагогы, сурдопедагог, тифлопедагог);14
Педагог-организатор, учитель начальной военной и технологической подготовки;Педагог-ұйымдастырушы, алғашқы әскери және технологиялық дайындық мұғалімі;15
Воспитатель: старший воспитатель, воспитатель (в организациях образования) общежития, мать-воспитатель;Тәрбиеші: аға тәрбиеші, тәрбиеші (білім беру ұйымдарында), жатақхана тәрбиешісі, ана-тәрбиеші;16
Преподаватель, тренер-преподаватель по спорту, старший тренер-преподаватель по спорту, занимающийся непосредственно учебно-преподавательской деятельностью;Оқытушы, спорт бойынша жаттықтырушы-оқытушы, спорт бойынша жаттықтырушы-аға оқытушы, тікелей оқу-оқытушылық қызметпен айналысатын спорт бойынша аға жаттықтырушы-оқытушы;17
Старший вожатый, вожатый;Аға вожатый, вожатый;18
Инспектор по делам молодежи;Жастар ісі жөніндегі инспекторы;19
Переводчик-дактилолог (сурдопереводчик в организациях образования);Аудармашы-дактилолог (білім беру ұйымдарында сурдоаудармашы);20
Культорганизатор (в организациях образования);Мәдени ұйымдастырушы (білім беру ұйымдарындағы);21
Инструктор;Нұсқаушы;22
Инструктор-методист физкультурно-спортивных организаций, инструктор-методист по плаванию, по туризму;Дене шынықтыру-спорт ұйымдарының, жүзу және туризм бойынша нұсқаушы-әдіскер;23
Старший мастер, мастер производственного обучения, мастер – преподаватель производственного обучения;Аға шебер, өндірістік оқыту шебері, шебер-өндірістік оқытудың оқытушысы;24
Методист (старший методист);Методист (аға методист);25
Музыкальный руководитель, аккомпаниатор, концертмейстер, хореограф, непосредственно занимающийся учебно-воспитательной деятельностью, художественный руководитель;Музыкалық жетекші, аккомпаниатор, тікелей оқу-тәрбиелік қызметпен айналысатын хореограф, концертмейстер, көркемдік жетекшісі;26
Педагог-профориентатор;Педагог-кәсіби бағдар беруші;27
