name_ru;name_kk;external_id
IT специалист;IT маман;1998
IT-лаборант;IT-лаборант;01999998
агроном;агроном;19999993
агрохимик;агрохимик;19999994
академик-секретарь;академик-хатшы;0099993
аккомпаниатор;аккомпаниатор;019998
аранжировщик;аранжировщик;01999999998
археограф;археограф;19999996
архивариус;архивариус;24
архивист;архивист;19999997
архитектор;архитектор;19999998
аспирант;аспирант;0199999998
ассистент;ассистент;0199999999
ассистент учителя;мұғалімнің көмекшісі;0199993
ассоциированный профессор;қауымдастырылған профессор;019999997
балетмейстер;балетмейстер;01999999999
библиограф;библиограф;199999992
библиотекарь;кітапханашы;12
биохимик;биохимик;199999993
Блок «D» (вспомогательный персонал);«D» блогі (қосалқы персонал);2
Блок «В» (основной персонал);«В» блогі (негізгі персонал);01
Блок «С» (административный персонал);«С» блогі (әкімшілік персонал);1
Блок А(управленческий персонал);А блогі (басқарушы персонал);000
бутафор;бутафор;42
бухгалтер;есепші;11
вахтер;вахтер;299999992
вахтер (на каждое здание);вахтер (әрбір ғимаратқа);194
вахтер здания;ғимарат вахтері;299
ведущий научный сотрудник;жетекші ғылыми қызметкер;019999995
ведущий эксперт ;жетекші сарапшы;019999999
ветеринарный врач;мал дәрігері;199999994
вице-президент;вице-президент;009993
водитель;жүргізуші;44
вожатый;тәлімгер;019993
воспитатель;тәрбиеші;01996
Воспитатель (старший воспитатель);Тәрбиеші (аға-тәрбиеші);09999999
воспитатель общежития;жатақхананың, интернаттық ұйымдардың тәрбиешісі;030
воспитатель, не ведущий преподавание;оқыту жүргізбейтін тәрбиеші;01999
врач;дәрігері;01999995
врач -сурдолог;сурдолог-дәрігер;0199995
врач-невропатолог;невропатолог-дәрігер;0199996
врач-офтальмолог;офтальмолог-дәрігер;0199997
врач-педиатр;дәрігер-педиатр;0123457
врач-психиатр;психиатр-дәрігер;0199998
гардеробщик;гардеробшы;2998
главный бухгалтер;бас бухгалтер;009999993
главный врач;бас дәрігер;00999
главный инженер;бас инженер;009999991
главный научный сотрудник;бас ғылыми қызметкер;019999993
главный редактор ;бас редактор ;00999996
главный ученый секретарь;бас ғылыми хатшы;0099991
главный экономист ;бас экономист;00999998
главный эксперт;бас сарапшы;019999996
грузчик ;жүк тиеуші;299992
дворник;аула сыпырушы;2997
дежурный администратор;кезекші әкімші;299994
дежурный бюро пропусков;рұқсаттама бюросының кезекшісі;299996
дежурный по общежитию;жатақхана бойынша кезекші;192
дезинфектор-хлораторщик;дезинфектор-хлораторшы;299999991
делопроизводитель;іс-қағаз жүргізушісі;25
дефектолог;дефектолог;022
диетическая сестра;диеталық мейірбике;01999992
дизайнер;дизайнер;199999995
директор;директор;003
директор дома юношества;жасөспірімдер үйінің директоры;0099996
дирижер;дирижер;019999999991
диспетчер;диспетчер;299997
докторант;докторант;01999999991
доцент/ассоциированный профессор;доцент/қауымдастырылған профессор;01999999997
другие;басқалары;5
другой вспомогательный персонал;басқа көмекші персонал;492
другой педагогический персонал;басқа педагогикалық қызметкерлер;0199994
другой технический персонал;басқа техникалық қызметкерлер;23
заведующий;меңгеруші;001
заведующий (руководитель) бюро;бюро меңгерушісі (басшысы) ;1999999999994
заведующий (руководитель) гаражом;гараж меңгерушісі (басшысы) ;1999999999996
заведующий (руководитель) делопроизводством;іс жүргізу меңгерушісі (басшысы) ;1999999999997
