name_ru;name_kk;external_id
Государственные предприятия;Мемлекеттік кәсіпорындар;10
Государственные предприятия на праве хозяйственного ведения;Шаруашылық жүргізу құқығында мемлекеттік кәсіпорындар;11
Государственные предприятия на праве оперативного управления  (казенные);Жедел басқару (қазыналық) құқығында мемлекеттік кәсіпорын;12
Хозяйственные товарищества;Шаруашылық серіктестіктер;15
Полные товарищества;Толық серіктестіктер;18
Коммандитные  товарищества;Коммандиттік серіктестіктер;19
Товарищества с ограниченной ответственностью;Жауапкершілігі шектеулі серіктестік;20
Товарищества с дополнительной ответственностью;Жауапкершілігі қосымша серіктестік;21
Акционерные общества;Акционерлік қоғамдар;28
Другие организационно-правовые формы;Басқа ұйымдастыру-құқықтық нысандар;30
Производственные кооперативы;Өндірістік кооперативтер;31
Учреждения;Мекемелер;35
Общественные объединения;Қоғамдық бірлестіктер;36
Потребительские кооперативы;Тұтыну кооперативтер;37
Фонды;Қорлар;38
Религиозные объединения;Діни бірлестіктер;39
Объединения  юридических лиц в форме  ассоциации;Заңды тұлғалардың ассоциация түріндегі бірлестіктер;40
Сельскохозяйственные товарищества;Ауыл шаруашылық бірлестік;42
Индивидуальное предпринимательство;Жеке кәсіпкерлік;45
Личное предпринимательство;Жеке кәсіпкерлік;46
Индивидуальное предпринимательство на основе совместного предпринимательства;Бірлескен кәсіпкерлік негізінде жеке кәсіпкерлік;47
Простое товарищество;Жай серіктестік;48
Предпринимательство супругов;Жұбайлардың кәсіпкерлігі;49
Семейное предпринимательство;Отбасылық кәсіпкерлік;50
Иные организационно-правовые формы некоммерческой организации;Коммерциялық емес ұйымның басқа ұйымдастыру-құқықтық нысандар;60
Прочие организационно-правовые формы, не включенные в другие группировки;Басқа топтамаларға енгізілмеген, өзге де ұйымдастыру-құқықтық нысаны;70
