region;location;name_kk;name_ru;schooltype;schoolform;external_id
110000000;111000000;"Көкшетау қаласының ""Аймар"" балабақшасы""ЖШС";"ТОО ""Детский сад ""Аймар"" города Кокшетау";01;20;553
110000000;113200000;"""Кеңес Одағының Батыры П. Исаков атындағы № 1 жалпы орта білім беретін мектебі"" КММ";"КГУ ""Общеобразовательная школа №1 имени Исакова П.М. Героя Советского Союза""";02;35;554
110000000;113200000;"""Урюпинка ауылының жалпы орта білім беретін мектебі"" ММ жанындағы шағын орталығы";"Мини-центр при КГУ ""Общеобразовательная школа села Урюпинка""";01;35;555
110000000;113200000;"""Горький атыңдағы  жалпы орта білім беретін мектебі"" КММ";"КГУ ""Общеобразовательная школа им. Горького""";02;35;556
110000000;113200000;"""Кына аулының жалпы орта білім беретін мектебі"" КММ жанындағы шағын орталығы";"Мини-центр при КГУ ""Общеобразовательная школа села Кына""";01;35;557
110000000;114000000;«Воробьевка ауылының негізгі орта мектебі» КММ;КГУ «Основная школа села Воробьевка»;02;35;558
110000000;113200000;"""Кеңес аулының жалпы орта білім беретін  мектебі"" КММ жанындағы шағын орталығы";"Мини-центр при КГУ ""Общеобразовательная школа села Кенес""";01;35;559
110000000;113200000;"""Сазды бұлақ ауылының жалпы орта білім беретін мектебі""КММ жанындағы шағын орталығы";"Мини-центр при КГУ ""Общеобразовательная школа села Сызды булак""";01;35;560
110000000;114000000;«Иванковка бастауыш мектебі» КММ;КГУ «Начальная школа села Иванковка»;02;35;561
110000000;111800000;""" Байқоныс жалпы орта  бiлiм беретін мектебi"" КММ"" жанындағы ""Қарлығаш"" шағын орталығы";"Мини-центр ""Қарлығаш"" при КГУ ""Общеобразовательная  школа села Байқоныс""";01;35;562
110000000;114000000;"""Красносельск негізгі мектебі"" КММ";"КГУ ""Красносельская начальная школа""";02;35;563
110000000;113200000;"""Өрнек аулының жалпы отра білім беретін мектебі"" КММ жанындағы шағын орталығы";"Мини-центр при КГУ ""Общеобразовательная школа села Орнек""";01;35;564
110000000;114000000;"""Новокиевская бастауш мектебі"" КММ";"КГУ ""Новокиевская начальная школа""";02;35;565
110000000;113200000;"""Талқара ауылының негізгі орта мектебі "" КММ жанындағы шағын орталығы";"Мини-центр при КГУ ""Основная средняя школа села Талкара""";01;35;566
110000000;114000000;«Новодонецк ауылының негізгі орта мектебі» КММ;КГУ «Основная средняя школа села Новодонецкое» ;02;35;567
110000000;113200000;""" Қарасай ауылының негізгі орта  мектебі"" КММ жанындағы шағын орталығы";"Мини-центр при КГУ ""Общеобразовательная школа села Карасай"" ";01;35;568
110000000;114000000;«Тастыөзек ауылының негізгі орта мектебі»;КГУ «Основная средняя школа села Тастыозек»;02;35;569
110000000;113200000;"""Аманкелді а. негізгі орта мектебі"" КММ жанындағы шағын орталығы";"Мини-центр при КГУ ""Основная средняя  школа с. а Амангельды""";01;35;570
110000000;113200000;"""Барап  ауылының  негізгі  орта мектебі"" КММ жанындағы шағын орталығы";"Мини-центр при КГУ "" Основная  средняя школа села Барап"" ";01;35;571
110000000;114000000;«Байсуат ауылының бастауыш мектебі» КММ;КГУ «Начальная школа села Байсуат»;02;35;572
110000000;113200000;"""Айтпай Құсайынов атындағы негізгі орта білім беретін мектебі"" КММ жанындағы шағын орталығы";"Мини-центр при КГУ ""Основная средняя школа имени Айтпая Кусаинова села Кара- Озек""";01;35;573
110000000;114000000;«Елтай ауылының бастауыш мектебі» КММ;КГУ«Начальная школа села Ельтай»;02;35;574
