name_ru;name_kk;external_id
Дошкольные организации;Мектепке дейінгі ұйымдар;01
Организации среднего образования(начального  основного среднего и общего среднего);Орта білім беру ұйымдары (бастауыш  негізгі орта және жалпы орта);02
Организации технического и профессионального образования;Техникалық және кәсіптік білім беру ұйымдары;03
Организации высшего образования;Организации высшего образования;05
Организации высшего и (или) послевузовского образования;Жоғары және (немесе) жоғары оқу орнынан кейінгі білім беру ұйымдары;06
Специализированные организации образования;Мамандандырылған білім беру  ұйымдары;07
Специальные организации образования;Арнайы білім беру ұйымдары;08
"""Организации образования для детей-сирот и детей";Жетім балалар мен ата-анасының қамқорлығынсыз қалған балаларға арналған білім беру ұйымдары;09
Организации дополнительного образования для детей;Балаларға арналған қосымша білім беру ұйымдары;10
Организации дополнительного образования для взрослых;Организации дополнительного образования для взрослых;11
Организации начального, основного среднего и общего среднего образования;Бастапқы, негізгі орта және жалпы орта білім беру ұйымы;12
Специальные организации образования;Білім беру арнайы ұйымдар;14
Специальные (коррекционные) организации образования;Арнайы (түзету) білім беру ұйымдары;15
Интернатные организации;Интернаттық ұйымдар;16
Организации послесреднего образования;Организации послесреднего образования;17
Отдел образования;Білім бөлімі;18
