name_ru;name_kk;external_id
Казахский язык и литература;Қазақ тілі және әдебиеті;01
Русский язык и литература;Орыс тілі және әдебиеті;02
История;Тарих;03
Математика/алгебра/геометрия;Математика/алгебра/геометрия;04
Физика/Астрономия ;Физика/Астрономия ;05
Химия;Химия;06
Биология;Биология;07
География;География;08
Английский язык;Ағылшын тiлi;09
Немецкий язык;Немic тiлi;10
Инвариантный компонент;Инварианттық компонент;100
Язык и литература;Тіл және әдебиет;101
Грамота (чтение, письмо, устная речь, дактильная речь);Сауат ашу (ана тілі, жазу, ауызекі сөйлеу тілі, дактильді сөйлеу тілі);102
Грамота (чтение, письмо);Сауат ашу (оқу, жазу);103
Казахский язык и развитие речи;Қазақ тілі және тіл дамыту;104
Чтение;Оқу;105
Литературное чтение;Әдебиеттік оқу;106
Человек и общество;Адам және қоғам;107
Предметно-практическое обучение;Заттық-практикалық оқыту;108
Предметно-практическая деятельность;Заттық-практикалық әрекет;109
Французский язык;Француз тiлi;11
Адаптивная физическая культура;Бейімделген дене шынықтыру;110
Социальная адаптация и трудовая подготовка;Әлеуметтік бейімдеу және еңбекке дайындау;111
Ручной труд;Қол еңбегі;112
Математика и информатика;Математика және информатика;113
Человек. Общество. Право;Адам. Қоғам. Құқық;114
Хозяйственный труд;Шаруашылық енбек;115
Социально-бытовая ориентировка;Заттық-тәжірибелік әрекет;116
Ремесло;Кәсіп;117
Коррекционная учебная нагрузка;Түзету оқу жүктемесі;118
Формирование произношения и развитие слухового восприятия;Дыбыстардың айтылуын қалыптастыру және есту қабілетін дамытуға;119
Музыка ;Музыка;12
Охрана и развитие остаточного зрения и зрительного восприятия;Қалдық көру қабілетін және көру арқылы қабылдауын сақтау және дамыту;120
Пространственная ориентировка;Кеңістікте бағдарлау;121
Развитие мимики и пантомимики;Мимика және пантомимиканы дамыту;122
Коррекция недостатков развития речи;Сөйлеу тіліндегі кемшіліктерді түзету;123
Обязательные индивидуальные и групповые коррекционные занятия по восполнению пробелов в знаниях;Міндетті жеке және топтық түзету сабақтары;124
Развитие психомоторики и сенсорных процессов;Психомоториканы және сенсорлы үдерістерді дамыту;125
Жестовая речь;Ым-ишараттық сөйлеу тілі;126
Разговорно-обиходная речь;Ауызекі және тұрмыстық сөйлеу тілі;127
Рисование;Бейнелеу;128
Изобразительное искусство/черчение;Бейнелеу өнері/сызу;13
Художественный труд ;Көркем еңбек;14
Физическая культура;Дене шынықтыру;15
НВП;Алғашқы әскери дайындық;16
Информатика ;Информатика;17
Обучение работе на сельхозмашинах;ауыл шаруашылық машиналарда жұмысқа оқыту бойынша;18
Обучение вождению на автомашинах;автомашина жүргізуге оқыту бойынша;19
История Казахстана;Қазақстан тарихы;20
Глобальные компетенции;Жаһандық құзыреттіліктер;200
Самопознание;Өзін-өзі тану;23
Психология;психология;24
Экология;экология;25
Валеология;валеология;26
Технология;технология;27
Астрономия;астрономия;28
Основы обществознания;Қоғамдық білім негіздері;29
Этика;Этика;30
Прикладная экономика;Қолданбалы экономика;31
Арабский язык;Араб тiлi;32
Основы правоведения;Құқық негiздерi;33
ОБЖ;ӨҚН;34
Казахская литература;Қазақ әдебиеті;35
Русская литература;Орыс әдебиеті;36
Черчение;Сызу;37
Польский язык;поляк тілі;38
Алгебра;Алгебра;39
Геометрия;Геометрия;40
Познание мира;Дүние тану;41
Искусство;Өнер;42
Казахская грамота;Сауат ашу;43
Русская грамота;Сауат ашу;44
Таджикская грамота;Сауат ашу;45
Уйгурская грамота;Сауат ашу;46
Религиоведение ;Дінтану ;47
Таджикский язык и литература;Тәжік тілі және әдибиет;48
Уйгурская литература;Ұйғыр әдебиеті;49
Уйгурский язык и литература;Ұйғыр тілі және әдибиет;50
дошкольное обучение и воспитание;мектепке дейінгі оқыту мен тәрбие;500
Узбекский язык и литература;Өзбек тілі және әдибиет;51
Узбекская литература;Өзбек әдебиеті;52
машинописи и ведению делопроизводства;машина басу және іс-қағаздарын жүргізу;53
Корейский язык;Кәріс тілі;54
Украинский язык;Украин тілі;55
Китайский язык;Қытай тілі;56
Логопедия;Логопедия;70
Чтение и развитие речи;оқу және сөйлеудің дамуы;71
Родиноведение;отан тану;72
Общество и право;қоғам және құқық;73
Социально – бытовая ориентировка;әлеуметтік-тұрмыстық тұспалдау;74
Культура поведения;жүріс-тұрыс мәдениеті;75
Мир вокруг;әлем айналада;76
Естествознание;жаратылыстану;77
Общетрудовая подготовка;жалпы еңбек даярлық;78
Профессионально – трудовая подготовка;кәсіптік-еңбек даярлық;79
Самообслуживание;өзін өзі күту;80
Лечебная физическая культура;Емдік дене шынықтыру;81
Ритмика;ырғақ сабағы;82
Коррекция познавательной деятельности;таным қызметтің түзетуі;83
Письмо и развитие речи;жазу және сөйлеудің дамуы;84
Счет;санау;85
Ознакомление с окружающим миром и развитие речи;қоршаған әлеммен танысу және сөйлеудің дамуы;86
Музыка и пение;музыка және ән салу;87
Музыка и ритмика;Музыка мен ырғақ сабағы;88
Коррекционная ритмика;түзету ырғақ сабағы;89
Турецкий язык;Түрік тілі;90
начальное обучение;бастауыш оқуы;91
Хореография ;Хореография;98
другие;басқалар;99
не преподает;сабақ бермейді;991
Глобальные компетенции ;Жаһандық құзыреттілік;992
